Method,Representative_Gene,P_Value,Is_Ground_Truth,Cluster_Size,Cluster_ID,All_Genes_In_Cluster
CRT-logit,PCDH9,8.516831614187703e-09,True,35,783,MIR548X2;MIR4704;PCDH9;LINC00364;RN7SL761P;KLHL1;RNY3P10;ATXN8OS;LINC00348;DACH1;MZT1;BORA;DIS3;PIBF1;KLF5;RNY1P8;LINC00393;LINC00392;KLF12;LINC00381;LINC00402;RNY1P5;LINC00347;TBC1D4;COMMD6;UCHL3;LMO7;C13orf45;LINC00561;RN7SL571P;KCTD12;IRG1;CLN5;FBXL3;MYCBP2
CRT-logit,U3,9.642179014769603e-09,False,1,15,U3
CRT-logit,ZNF292,1.0123548023220985e-08,True,46,653,IRAK1BP1;PHIP;HMGN3;LCA5;SH3BGRL2;ELOVL4;TTK;BCKDHB;FAM46A;RNA5SP210;IBTK;TPBG;UBE3D;DOPEY1;PGM3;RWDD2A;ME1;PRSS35;SNAP91;RIPPLY2;CYB5R4;MRAP2;KIAA1009;TBX18;NT5E;SNX14;SYNCRIP;SNHG5;RN7SL643P;HTR1E;RN7SKP209;CGA;ZNF292;GJB7;SMIM8;C6orf163;C6ORF165;C6orf165;SLC35A1;RARS2;ORC3;AKIRIN2;RN7SL183P;SPACA1;CNR1;RNGTT
CRT-logit,RN7SL855P,1.0286617527775099e-08,False,1,177,RN7SL855P
CRT-logit,MIR3654,1.2816523487085957e-08,False,1,55,MIR3654
CRT-logit,snoU13,1.3724425645038017e-08,False,1,268,snoU13
CRT-logit,snoU13,1.5331280124415124e-08,False,3,482,snoU13;snoU13;snoU13
CRT-logit,LINC00700,1.9991673970587247e-08,False,33,511,LINC00700;LINC00701;PFKP;PITRM1;KLF6;LINC00702;LINC00703;LINC00704;LINC00705;AKR1E2;AKR1C1;AKR1C2;AKR1C3;AKR1CL1;AKR1C4;AKR1C7P;UCN3;TUBAL3;NET1;CALML5;CALML3;RN7SL445P;ASB13;FAM208B;GDI2;ANKRD16;FBXO18;IL15RA;IL2RA;RBM17;PFKFB3;RN7SKP78;MIR3155A
CRT-logit,U8,2.3043747833364942e-08,False,4,303,U8;U8;U8;U8
CRT-logit,snoU13,4.793425000414961e-08,False,6,633,snoU13;snoU13;snoU13;snoU13;snoU13;snoU13
CRT-logit,SOX6,5.117091832458134e-08,False,3,651,SOX6;RN7SL188P;C11orf58
CRT-logit,snoU109,6.977823166633154e-08,False,5,632,snoU109;snoU109;snoU109;snoU13;snoU13
CRT-logit,TSPEAR,8.990489169036258e-08,True,33,508,TSPEAR;C21orf90;UBE2G2;SUMO3;PTTG1IP;ITGB2;C21orf67;FAM207A;LINC00163;LINC00162;PRED57;SSR4P1;ADARB1;LINC00334;POFUT2;LINC00205;LINC00315;LINC00316;COL18A1;SLC19A1;PCBP3;COL6A1;COL6A2;FTCD;SPATC1L;LSS;MCM3AP;YBEY;C21orf58;PCNT;DIP2A;S100B;PRMT2
CRT-logit,SYT10,2.1175650628379933e-07,False,10,893,SYT10;ALG10;RNA5SP358;RNA5SP359;ALG10B;CPNE8;KIF21A;ABCD2;C12orf40;SLC2A13
CRT-logit,SLCO5A1,2.2624572703749337e-07,True,61,499,FAM110B;UBXN2B;CYP7A1;SDCBP;NSMAF;TOX;RNA5SP267;CA8;RAB2A;CHD7;CLVS1;ASPH;RN7SKP97;MIR4470;NKAIN3;GGH;TTPA;YTHDF3;RN7SL135P;RN7SKP135;BHLHE22;CYP7B1;ARMC1;MTFR1;PDE7A;DNAJC5B;TRIM55;CRH;LINC00967;RRS1;ADHFE1;C8orf46;MYBL1;VCPIP1;C8orf44;SGK3;MCMDC2;SNHG6;SNORD87;TCF24;PPP1R42;COPS5;CSPP1;RNA5SP268;ARFGEF1;CPA6;PREX2;C8orf34;RNA5SP269;SULF1;SLCO5A1;RN7SKP29;RN7SL675P;RNA5SP270;PRDM14;NCOA2;TRAM1;LACTB2;RN7SL19P;XKR9;EYA1
CRT-logit,LINC00618,2.501823316748023e-07,False,1,137,LINC00618
CRT-logit,SNORA25,2.803460273903842e-07,False,1,67,SNORA25
CRT-logit,MYH11,3.07764438372849e-07,True,53,422,BFAR;PLA2G10;NPIPA3;NPIPA2;NOMO1;NPIPA1;PDXDC1;NTAN1;RRN3;NPIPP1;PKD1P6;NPIPA5;MPV17L;C16orf45;KIAA0430;NDE1;MIR484;MYH11;FOPNL;ABCC1;ABCC6;NOMO3;NPIPA7;XYLT1;NPIPA8;PKD1P5;NOMO2;ABCC6P1;RPS15A;ARL6IP1;SMG1;TMC7;COQ7;ITPRIPL2;SYT17;CLEC19A;TMC5;GDE1;CCP110;C16orf62;KNOP1;IQCK;GPRC5B;GPR139;GP2;UMOD;PDILT;ACSM5;ACSM2A;ACSM2B;ACSM3;ACSM1;THUMPD1
CRT-logit,CBX5,3.1301315755849344e-07,False,50,850,CBX5;RN7SL390P;HNRNPA1;NFE2;COPZ1;MIR148B;RN7SL744P;GPR84;ZNF385A;ITGA5;GTSF1;NCKAP1L;PDE1B;PPP1R1A;GLYCAM1;LACRT;DCD;MUCL1;TESPA1;NEUROD4;OR9K2;OR10A7;OR6C74;OR6C6;OR6C1;OR6C3;OR6C75;OR6C65;OR6C76;OR6C2;OR6C70;OR6C68;OR6C4;OR2AP1;OR10P1;METTL7B;ITGA7;BLOC1S1;RDH5;CD63;GDF11;SARNP;ORMDL2;DNAJC14;TMEM198B;MMP19;WIBG;DGKA;PMEL;CDK2
CRT-logit,RN7SKP84,3.1667369291794537e-07,False,1,154,RN7SKP84
CRT-logit,TP53,3.493654769432882e-07,True,16,394,SNORA67;CD68;MPDU1;SOX15;FXR2;SHBG;SAT2;ATP1B2;TP53;WRAP53;EFNB3;DNAH2;RPL29P2;KDM6B;TMEM88;LSMD1
CRT-logit,RN7SL371P,4.81336951466599e-07,False,1,4,RN7SL371P
CRT-logit,GRID1,5.443593733809993e-07,False,20,369,GRID1;RN7SKP238;RNA5SP322;MIR346;WAPAL;OPN4;LDB3;BMPR1A;MMRN2;SNCG;ADIRF;AGAP11;FAM25A;GLUD1;FAM35A;RN7SL733P;NUTM2A;LINC00863;NUTM2D;MINPP1
CRT-logit,TPTE,5.85236215251496e-07,True,34,731,MIR3648;TEKT4P2;RN7SL52P;BAGE2;TPTE;ANKRD30BP2;POTED;CYP4F29P;ANKRD20A11P;RNA5SP488;LIPI;RBM11;ABCC13;HSPA13;SAMSN1;NRIP1;USP25;LINC00478;MIR99A;MIRLET7C;MIR125B2;C21orf37;RN7SL163P;CXADR;BTG3;C21orf91;CHODL;TMPRSS15;MIR548X;RN7SKP147;LINC00320;NCAM2;LINC00317;LINC00308
CRT-logit,CEP170,9.421863768015932e-07,False,15,545,CEP170;SDCCAG8;MIR4677;AKT3;ZBTB18;RN7SL148P;C1orf100;ADSS;C1orf101;DESI2;COX20;HNRNPU;RN7SKP55;EFCAB2;KIF26B
CRT-logit,FLNB,9.782281480480363e-07,True,39,456,SNORD63;SNORD63;CHDH;IL17RB;ACTR8;SELK;CACNA2D3;ESRG;LRTM1;WNT5A;ERC2;MIR3938;RN7SKP45;RNA5SP133;CCDC66;FAM208A;ARHGEF3;SPATA12;IL17RD;HESX1;APPL1;ASB14;DNAH12;PDE12;ARF4;RNU6ATAC26P;DENND6A;SLMAP;FLNB;DNASE1L3;ABHD6;RPP14;PXK;PDHB;KCTD6;ACOX2;FAM107A;FAM3D;C3orf67
CRT-logit,U8,1.1176950087784978e-06,False,16,960,U8;U8;U8;U8;U8;U8;U8;U8;U8;U8;U8;U8;U8;U8;U8;U8
CRT-logit,snoU13,1.1748061203888662e-06,False,1,244,snoU13
CRT-logit,snoU13,1.317582878937769e-06,False,1,271,snoU13
CRT-logit,snoU13,1.415437585981529e-06,False,1,269,snoU13
